,learning_rate,optimizer,batch_size,dropout_rate,num_hidden_layers,activation_function,val_accuracy,history
0,0.001,Adam,32,0.1,1,relu,0.9789029359817505,<keras.callbacks.History object at 0x7fb6e39d9a30>
1,0.001,Adam,32,0.1,1,sigmoid,0.9831223487854004,<keras.callbacks.History object at 0x7fb6e0192af0>
2,0.001,Adam,32,0.1,2,relu,0.9789029359817505,<keras.callbacks.History object at 0x7fb6ef40eb50>
3,0.001,Adam,32,0.1,2,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb6f2e69dc0>
4,0.001,Adam,32,0.2,1,relu,0.9704641103744507,<keras.callbacks.History object at 0x7fb6f2f9ae80>
5,0.001,Adam,32,0.2,1,sigmoid,0.9789029359817505,<keras.callbacks.History object at 0x7fb6f8a5e790>
6,0.001,Adam,32,0.2,2,relu,0.9831223487854004,<keras.callbacks.History object at 0x7fb6fb630460>
7,0.001,Adam,32,0.2,2,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb6fd85e550>
8,0.001,Adam,64,0.1,1,relu,0.9789029359817505,<keras.callbacks.History object at 0x7fb6ffe8caf0>
9,0.001,Adam,64,0.1,1,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb57806fb80>
10,0.001,Adam,64,0.1,2,relu,0.9873417615890503,<keras.callbacks.History object at 0x7fb5786d34c0>
11,0.001,Adam,64,0.1,2,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb6be3b1b80>
12,0.001,Adam,64,0.2,1,relu,0.9789029359817505,<keras.callbacks.History object at 0x7fb6cead6910>
13,0.001,Adam,64,0.2,1,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb7ca00f4f0>
14,0.001,Adam,64,0.2,2,relu,0.9873417615890503,<keras.callbacks.History object at 0x7fb6be2e32e0>
15,0.001,Adam,64,0.2,2,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb6d23baa00>
16,0.001,Adam,128,0.1,1,relu,0.9789029359817505,<keras.callbacks.History object at 0x7fb6bd026730>
17,0.001,Adam,128,0.1,1,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb318197160>
18,0.001,Adam,128,0.1,2,relu,0.9873417615890503,<keras.callbacks.History object at 0x7fb318551400>
19,0.001,Adam,128,0.1,2,sigmoid,0.9873417615890503,<keras.callbacks.History object at 0x7fb31af1a130>
20,0.001,Adam,128,0.2,1,relu,0.9873417615890503,<keras.callbacks.History object at 0x7fb31ce2f640>
